emp_no,first_name,last_name,birth_date,title,dept_name
28422,Eckart,Cmelik,1954-02-04,Engineer,Production
28432,Manton,Validov,1953-06-17,Senior Staff,Human Resources
28440,Cordelia,Tomescu,1952-10-08,Senior Staff,Marketing
28444,Harjit,Henseler,1953-12-03,Senior Engineer,Quality Management
28447,Anneke,Ghelli,1953-06-03,Technique Leader,Development
28478,Chiradeep,Simmen,1953-11-15,Senior Engineer,Production
28510,Subhankar,Desikan,1952-10-27,Technique Leader,Production
28528,Sariel,Veccia,1954-07-06,Senior Staff,Human Resources
28529,Mabo,Griswold,1954-11-04,Senior Engineer,Development
28542,Ferdinand,Guardalben,1953-10-26,Senior Engineer,Development
28555,Kankanahalli,Wendorf,1954-10-12,Senior Staff,Sales
28565,Rosalie,Bain,1952-11-18,Senior Staff,Marketing
28596,Perla,Porotnikoff,1952-07-10,Senior Staff,Sales
28600,Mingzeng,Whitcomb,1953-03-29,Staff,Research
28613,Giao,Stemann,1952-10-24,Senior Engineer,Quality Management
28619,Pragnesh,Majewski,1952-04-05,Staff,Sales
28627,Serge,Plumb,1954-06-13,Senior Staff,Research
28628,Zhonghui,Zyda,1954-06-05,Senior Staff,Human Resources
28631,Dmitry,Marletta,1953-08-02,Senior Engineer,Production
28631,Dmitry,Marletta,1953-08-02,Senior Engineer,Development
28653,Pranay,Flanders,1954-02-22,Senior Staff,Finance
28653,Pranay,Flanders,1954-02-22,Senior Staff,Sales
28677,Terresa,Gunderson,1954-03-28,Senior Staff,Finance
28687,Ulf,Ghazalie,1954-01-25,Senior Staff,Finance
28689,Jessie,Lores,1952-07-22,Senior Staff,Sales
28714,Arco,Poehlman,1953-05-04,Assistant Engineer,Production
28715,Bikash,Fordan,1954-03-06,Senior Engineer,Production
28716,Kristian,Hertweck,1953-06-28,Senior Staff,Marketing
28716,Kristian,Hertweck,1953-06-28,Senior Staff,Sales
28739,Elliott,Wixon,1954-04-13,Senior Staff,Sales
28746,Steve,Maquelin,1953-05-16,Senior Staff,Human Resources
28750,Guangming,Speckmann,1954-02-15,Senior Staff,Sales
28753,Leaf,Lichtner,1954-01-07,Senior Staff,Sales
28755,Xiahua,Cmelik,1953-08-14,Senior Staff,Customer Service
28757,Branimir,Poupard,1953-05-13,Senior Staff,Sales
28770,Abdelghani,Farris,1954-03-30,Senior Engineer,Production
28770,Abdelghani,Farris,1954-03-30,Senior Engineer,Customer Service
28773,Tomokazu,Polupanov,1952-08-20,Senior Engineer,Development
28779,Fayez,Bottner,1953-01-09,Senior Staff,Sales
28782,Marl,Yemenis,1953-06-16,Engineer,Production
28794,Kyoichi,Peron,1954-05-20,Senior Engineer,Production
28811,Cristinel,Vrecion,1954-12-17,Engineer,Development
28818,Hongzhu,Panienski,1952-07-18,Senior Engineer,Quality Management
28827,Hugh,Heydon,1953-02-23,Senior Engineer,Production
28855,Shan,Heering,1954-05-31,Senior Engineer,Development
28867,Shahar,Awdeh,1954-07-05,Senior Engineer,Development
28873,Toshimo,Attimonelli,1953-01-21,Senior Engineer,Production
28881,Masaki,Rosin,1953-01-23,Senior Staff,Finance
28890,Lijie,Puoti,1953-04-30,Senior Engineer,Development
28922,Xiadong,Willoner,1952-09-30,Engineer,Development
28933,Alain,Bernick,1954-04-09,Senior Staff,Customer Service
28962,Wuxu,Gini,1954-11-17,Technique Leader,Production
28966,Shakhar,Zirintsis,1954-01-03,Engineer,Production
28968,Shalesh,Gerteisen,1952-04-10,Engineer,Production
28976,Kazuhiko,Aingworth,1954-09-03,Senior Engineer,Development
28981,Dipayan,Bernardinello,1954-07-13,Senior Staff,Marketing
28981,Dipayan,Bernardinello,1954-07-13,Senior Staff,Human Resources
28983,Mohammed,Luca,1954-12-24,Senior Staff,Research
28993,Domenick,Rijckaert,1953-08-29,Senior Engineer,Development
28997,Persi,Ramsay,1954-07-20,Senior Staff,Research
29024,Qunsheng,Itzigehl,1952-04-16,Senior Engineer,Production
29026,Parto,Byoun,1953-03-18,Senior Engineer,Development
29032,Mizuhito,Rassart,1954-07-24,Engineer,Development
29052,Doowon,Azulay,1954-12-13,Senior Engineer,Production
29059,Arumugam,Legleitner,1954-05-05,Senior Engineer,Development
29063,Mary,Seuren,1954-09-01,Senior Engineer,Quality Management
29071,Jaideep,Hennings,1954-05-04,Senior Staff,Finance
29077,Candida,Tagansky,1953-08-24,Assistant Engineer,Production
29080,Panayotis,Shumilov,1954-02-01,Senior Staff,Sales
29101,Jouni,Salverda,1952-03-25,Senior Engineer,Development
29105,Snehasis,Marsiglia,1953-02-25,Senior Staff,Human Resources
29120,Parto,Bergere,1954-06-02,Senior Staff,Sales
29126,Visit,Suessmith,1954-07-04,Senior Engineer,Production
29133,Rafael,Peck,1954-01-10,Senior Staff,Sales
29156,Youngkon,Cyne,1954-12-22,Engineer,Production
29182,Arumugam,Aamodt,1952-11-17,Senior Staff,Customer Service
29190,Mahendra,Sudbeck,1953-12-20,Senior Staff,Customer Service
29191,Ayakannu,Krogh,1952-02-18,Engineer,Development
29194,Sarita,Peris,1952-05-02,Senior Engineer,Development
29199,Chaoyi,Mondadori,1953-07-07,Senior Staff,Sales
29202,Rajmohan,Roohalamini,1953-04-26,Senior Engineer,Production
29202,Rajmohan,Roohalamini,1953-04-26,Senior Engineer,Development
29208,Radoslaw,Schusler,1953-03-29,Technique Leader,Development
29222,Remzi,Trachtenberg,1953-07-08,Staff,Development
29222,Remzi,Trachtenberg,1953-07-08,Staff,Customer Service
29228,Leszek,Guerreiro,1953-11-11,Senior Staff,Human Resources
29243,Sibyl,Koyama,1953-09-05,Senior Engineer,Development
29250,Radoslaw,Besancenot,1952-08-11,Senior Staff,Sales
29256,Mountaz,Schiettecatte,1953-01-20,Senior Engineer,Development
29284,Aloys,Hofman,1954-06-17,Senior Engineer,Production
29329,Takushi,Sooriamurthi,1952-06-20,Senior Engineer,Production
29342,Moti,Muniz,1953-04-21,Senior Staff,Human Resources
29361,LiMin,McDermid,1953-07-25,Engineer,Development
29366,Domenico,Ohori,1952-09-22,Senior Staff,Finance
29366,Domenico,Ohori,1952-09-22,Senior Staff,Sales
29387,Roddy,Saoudi,1954-10-20,Senior Engineer,Production
29389,Takushi,Swist,1952-09-02,Senior Staff,Customer Service
29390,Mang,Crooks,1953-07-26,Senior Engineer,Production
29407,Reuven,Strandh,1954-07-06,Senior Engineer,Production
29419,Kendra,Scharstein,1954-08-25,Senior Engineer,Development
29436,Godehard,Schnelling,1953-04-04,Senior Engineer,Development
29442,Horward,Piazza,1954-04-07,Senior Engineer,Production
29465,Kshitij,Ramsay,1954-03-26,Senior Staff,Finance
29468,Ramya,Bojadziev,1953-02-01,Senior Staff,Research
29469,Rafael,Cmelik,1954-10-30,Engineer,Development
29485,Ortrun,Shobatake,1954-03-19,Senior Staff,Sales
29486,Jouni,Gerteisen,1952-12-14,Senior Engineer,Development
29488,Niclas,Eastman,1952-11-28,Technique Leader,Production
29495,Mizuhito,Morrey,1952-09-29,Senior Staff,Finance
29507,Adel,Panwar,1953-12-05,Senior Engineer,Development
29511,Sadegh,Taubman,1952-12-27,Engineer,Production
29513,Genki,Cusworth,1952-02-24,Senior Engineer,Production
29515,Kish,Karcich,1952-09-15,Senior Engineer,Development
29519,Theirry,Bahr,1954-12-22,Senior Engineer,Production
29524,Murthy,Engberts,1953-06-08,Senior Staff,Human Resources
29559,Shin,Edelhoff,1953-01-10,Engineer,Development
29583,Subhada,Waymire,1952-06-27,Senior Staff,Sales
29594,Yolla,Ermel,1953-10-08,Staff,Customer Service
29596,Geoff,Lueh,1953-06-09,Senior Staff,Sales
29597,Yoshinari,Codenie,1952-11-27,Senior Engineer,Development
29623,Heekeun,Stille,1954-04-22,Engineer,Development
29651,Divier,Knightly,1953-11-25,Senior Staff,Sales
29652,Khatoun,Chleq,1953-04-11,Senior Staff,Finance
29715,Dinah,Valette,1953-03-19,Senior Engineer,Development
29719,Sumant,Takkinen,1954-07-18,Senior Staff,Sales
29729,Alassane,Bernatsky,1953-04-14,Senior Staff,Sales
29739,Danil,Comyn,1953-07-10,Senior Engineer,Production
29759,Arif,Thimonier,1954-07-14,Senior Staff,Research
29777,Dharmaraja,Muntz,1954-10-19,Staff,Customer Service
29797,Selwyn,Krzyzanowski,1952-08-30,Technique Leader,Production
29802,Herb,Paciorek,1952-07-27,Senior Engineer,Production
29810,Arne,Madeira,1952-07-06,Senior Engineer,Production
29810,Arne,Madeira,1952-07-06,Senior Engineer,Customer Service
29811,Erzsebet,Kohling,1952-06-03,Technique Leader,Production
29816,Kiyomitsu,Munck,1953-10-07,Senior Engineer,Production
29817,Florian,Sadowski,1954-10-18,Senior Engineer,Production
29829,Pranjal,Pepe,1952-10-07,Senior Engineer,Development
29856,Yuichiro,Pardalos,1952-03-01,Senior Engineer,Development
29871,Xiaobin,Pocchiola,1953-01-16,Senior Engineer,Production
29877,Mingsen,Kitai,1952-08-10,Senior Staff,Research
29902,Kasturi,Asser,1952-08-31,Senior Staff,Finance
29917,Sahrah,Roohalamini,1953-01-28,Senior Engineer,Production
29919,Goa,Kugler,1954-01-26,Senior Engineer,Production
29950,Laurentiu,Vasanthakumar,1953-12-31,Engineer,Quality Management
29952,Jianhao,Kusakari,1953-10-07,Engineer,Production
29969,Lena,McAffer,1954-09-18,Senior Engineer,Development
29985,Marin,Roisin,1953-05-03,Senior Engineer,Production
29991,Aral,Rosenbaum,1952-03-07,Senior Staff,Marketing
29996,Gennady,Pfau,1954-12-13,Engineer,Quality Management
30000,Matt,Avouris,1953-01-07,Senior Engineer,Production
30001,Izaskun,Morton,1953-03-27,Senior Staff,Research
30008,Tsutomu,Kalafatis,1953-04-09,Senior Engineer,Production
30039,Ronghao,Antonisse,1952-05-16,Senior Engineer,Quality Management
30062,Phuoc,Ertl,1953-12-16,Senior Engineer,Development
30075,Bojan,Zedlitz,1953-07-13,Senior Staff,Marketing
30078,Greger,Thummel,1953-11-28,Senior Staff,Production
30078,Greger,Thummel,1953-11-28,Senior Staff,Customer Service
30084,Jiafu,Cronin,1954-06-03,Senior Engineer,Development
30092,Kristof,Pusterhofer,1953-06-10,Senior Engineer,Development
30101,Berni,Olano,1952-08-25,Technique Leader,Development
30103,Murthy,Gini,1952-04-03,Senior Staff,Marketing
30106,Zeljko,Yamaashi,1952-11-24,Engineer,Development
30123,Rosita,Baba,1953-05-22,Technique Leader,Development
30136,Unal,Baranowski,1952-02-23,Senior Staff,Research
30143,Indrajit,Huttel,1954-06-02,Senior Staff,Sales
30148,Lakshmi,Linnainmaa,1952-04-19,Senior Staff,Marketing
30189,Krisda,Koblick,1954-04-30,Technique Leader,Development
30206,Toong,Mandelberg,1952-12-18,Senior Staff,Human Resources
30209,Yannis,Aloisi,1953-05-26,Senior Staff,Sales
30209,Yannis,Aloisi,1953-05-26,Senior Staff,Customer Service
30269,Dharmaraja,Valtorta,1953-06-08,Senior Staff,Marketing
30269,Dharmaraja,Valtorta,1953-06-08,Senior Staff,Human Resources
30274,Hironoby,Chiola,1952-02-06,Senior Engineer,Production
30276,Kazuhiko,Matheson,1953-04-19,Senior Engineer,Production
30285,Parke,Cyre,1953-01-14,Senior Engineer,Production
30302,Amstein,Sankaranarayanan,1954-02-10,Senior Staff,Sales
30309,Jayesh,Azevdeo,1952-05-20,Staff,Human Resources
30310,Mototsugu,Senzako,1954-02-18,Engineer,Production
30313,Srinidhi,Candan,1952-12-11,Senior Engineer,Development
30330,Caolyn,Nitsch,1953-07-28,Senior Staff,Sales
30331,Lene,Vuskovic,1954-03-12,Senior Engineer,Development
30334,Yongqiao,Atchley,1954-01-30,Senior Staff,Research
30351,Djenana,Blokdijk,1952-10-27,Senior Staff,Sales
30364,Miquel,Byoun,1952-03-11,Senior Engineer,Production
30373,Jayesh,Vasanthakumar,1954-08-15,Senior Staff,Marketing
30380,Jianhao,Templeman,1952-04-27,Engineer,Quality Management
30396,Vishv,Hmelo,1953-07-13,Senior Engineer,Production
30407,Toshiki,Coors,1953-02-26,Senior Staff,Human Resources
30408,Masasuke,Crelier,1954-03-29,Engineer,Development
30410,Feiyu,Menyhert,1954-02-04,Senior Staff,Sales
30418,Adit,Perl,1952-03-05,Senior Staff,Research
30424,Hsiangchu,Jenevein,1954-01-31,Senior Engineer,Production
30425,Rimli,Akazan,1954-09-30,Senior Staff,Sales
30434,Shay,Sury,1954-02-10,Technique Leader,Production
30454,Pradeep,Plessier,1953-12-24,Senior Engineer,Development
30466,Sumant,Giaccio,1952-08-08,Senior Staff,Sales
30470,Siamak,Jayawardene,1952-04-15,Senior Engineer,Development
30497,Youjian,Pettis,1952-10-19,Senior Staff,Sales
30509,Keiichiro,Comellas,1952-12-08,Senior Staff,Finance
30525,Snehasis,Matzen,1952-09-03,Senior Staff,Sales
30537,Bluma,Gini,1952-10-27,Senior Engineer,Development
30546,Janalee,Oehlmann,1954-01-13,Senior Staff,Finance
30546,Janalee,Oehlmann,1954-01-13,Senior Staff,Sales
30557,Goncalo,Manders,1954-08-03,Senior Staff,Customer Service
30569,Haldon,Gajiwala,1954-04-22,Senior Engineer,Quality Management
30571,Ziva,Bonifati,1952-03-26,Engineer,Development
30573,Marie,Rijckaert,1954-01-26,Technique Leader,Production
30577,JoAnna,Rosaz,1953-07-29,Engineer,Production
30588,Chandrasekaran,Tokunaga,1954-12-20,Staff,Human Resources
30601,Gilbert,Cyne,1953-09-28,Senior Staff,Marketing
30601,Gilbert,Cyne,1953-09-28,Senior Staff,Sales
30606,Chuanyi,Shrader,1953-01-13,Senior Engineer,Production
30622,Naftali,Perko,1952-12-08,Senior Engineer,Production
30633,Arra,Ranta,1953-10-16,Senior Engineer,Production
30634,Patricio,Farrel,1952-02-10,Senior Engineer,Quality Management
30644,Marlo,Hegner,1954-04-21,Engineer,Production
30648,Macha,Chartres,1953-10-29,Senior Engineer,Development
30655,Xuedong,Anandan,1954-03-25,Senior Staff,Sales
30656,Gritta,Ranst,1953-07-18,Engineer,Development
30670,Lillian,Zizka,1952-12-09,Staff,Sales
30673,Berry,Ozeki,1954-12-23,Senior Staff,Sales
30679,Shushma,Gargeya,1954-04-21,Senior Staff,Human Resources
30689,Jeong,Potthoff,1953-12-14,Senior Staff,Customer Service
30702,Vincent,Shumilov,1953-08-02,Engineer,Production
30702,Vincent,Shumilov,1953-08-02,Engineer,Quality Management
30727,Toshimitsu,Sury,1952-05-29,Senior Staff,Human Resources
30730,Willard,Pelc,1953-07-05,Senior Staff,Sales
30744,Khatoun,Fadgyas,1952-02-07,Senior Staff,Finance
30761,Hisao,Iisaka,1954-04-05,Senior Engineer,Development
30769,Berry,Frolund,1952-03-14,Senior Staff,Sales
30791,Xiong,Ariola,1952-08-10,Technique Leader,Development
30802,Keung,Bernini,1953-10-29,Senior Engineer,Development
30819,Sachio,Asrin,1953-01-16,Senior Engineer,Development
30824,Subbu,Bellone,1953-09-19,Senior Staff,Marketing
30831,Arno,Kermarrec,1953-07-24,Senior Staff,Sales
30834,Van,Erdi,1952-09-08,Senior Staff,Sales
30846,Nidapan,Montresor,1952-12-29,Senior Engineer,Development
30851,Ortrun,Castellani,1954-12-13,Senior Staff,Research
30856,Chaosheng,Lampe,1953-03-02,Senior Engineer,Development
30923,Chandrasekaran,Ellozy,1953-02-02,Staff,Sales
30948,Xinan,Lunt,1954-11-17,Senior Engineer,Development
30948,Xinan,Lunt,1954-11-17,Senior Engineer,Quality Management
30951,Alagu,Matzen,1953-03-21,Senior Engineer,Quality Management
30968,Ingemar,Karlin,1954-08-19,Senior Staff,Development
30968,Ingemar,Karlin,1954-08-19,Senior Staff,Customer Service
30998,Zhongwei,Ebeling,1952-09-03,Senior Engineer,Production
30999,Yuuichi,Lorys,1954-01-13,Senior Staff,Customer Service
31005,Ulises,Gustavson,1952-09-10,Senior Engineer,Production
31019,Arve,Junot,1952-07-23,Senior Engineer,Development
31024,Xiadong,Ciolek,1953-08-27,Senior Staff,Sales
31058,Abdulah,Frezza,1953-09-22,Senior Engineer,Production
31058,Abdulah,Frezza,1953-09-22,Senior Engineer,Development
31070,Tru,Solares,1953-02-18,Senior Staff,Human Resources
31085,Venkatesan,Merks,1953-10-08,Engineer,Development
31089,Kshitij,Cannane,1952-11-28,Senior Staff,Marketing
31089,Kshitij,Cannane,1952-11-28,Senior Staff,Customer Service
31106,Oscal,Kulisch,1952-11-15,Senior Staff,Research
31122,Remko,Ghemri,1952-05-30,Senior Engineer,Development
31128,Serif,Frolund,1952-04-30,Assistant Engineer,Production
31131,Conal,Zolotykh,1953-10-13,Senior Staff,Marketing
31131,Conal,Zolotykh,1953-10-13,Senior Staff,Sales
31132,Barna,Ghalwash,1954-01-16,Senior Staff,Sales
31171,Sashi,Przulj,1954-03-22,Senior Staff,Finance
31189,Shounak,Erdmenger,1952-04-29,Senior Staff,Research
31196,Barry,Emmart,1952-05-10,Senior Engineer,Production
31196,Barry,Emmart,1952-05-10,Senior Engineer,Quality Management
31213,Koldo,Lamparter,1954-01-19,Senior Staff,Finance
31220,Radoslaw,Lund,1954-10-31,Senior Staff,Sales
31224,Uta,Apsitis,1953-06-18,Senior Staff,Sales
31227,Aluzio,McConalogue,1952-11-09,Senior Engineer,Development
31253,Troy,Pepe,1953-02-09,Senior Engineer,Development
31257,Nectarios,Cherinka,1953-11-11,Senior Engineer,Development
31263,Yurij,Pena,1953-10-07,Senior Engineer,Development
31286,Marsha,Magliocco,1952-07-23,Senior Engineer,Development
31290,Masoud,Coullard,1954-08-31,Assistant Engineer,Production
31292,Elgin,Terlouw,1952-11-29,Senior Engineer,Production
31326,Tesuya,Conta,1954-11-25,Senior Engineer,Production
31326,Tesuya,Conta,1954-11-25,Senior Engineer,Development
31340,Gennady,Marrakchi,1953-06-01,Senior Engineer,Production
31344,Saddek,Gerteisen,1952-07-14,Senior Staff,Marketing
31344,Saddek,Gerteisen,1952-07-14,Senior Staff,Sales
31348,Ravishankar,Randi,1953-02-14,Senior Staff,Marketing
31362,Bikash,Straney,1954-12-29,Senior Engineer,Production
31367,Paloma,Antonakopoulos,1953-10-04,Senior Engineer,Quality Management
31371,Feixiong,Hartvigsen,1952-11-24,Senior Engineer,Production
31373,Nevin,Wuwongse,1952-08-28,Engineer,Production
31385,Barry,Daescu,1954-04-01,Senior Staff,Sales
31390,Fei,Liedekerke,1952-04-28,Staff,Development
31390,Fei,Liedekerke,1952-04-28,Staff,Customer Service
31394,Martial,Lieberherr,1952-12-22,Staff,Finance
31395,Jayesh,Wursthorn,1954-03-21,Staff,Research
31401,Hein,Sigstam,1954-02-17,Senior Staff,Sales
31402,Stabislas,Cools,1952-06-15,Senior Engineer,Quality Management
31404,Gererd,Narlikar,1953-10-10,Senior Engineer,Quality Management
31410,Mountaz,Iwayama,1952-11-23,Engineer,Production
31423,Otilia,Ranta,1954-12-04,Senior Engineer,Development
31429,Matk,Bernini,1953-09-03,Senior Staff,Sales
31429,Matk,Bernini,1953-09-03,Senior Staff,Customer Service
31493,Zhiwei,Gargeya,1954-01-14,Staff,Finance
31495,Akhilish,Coombs,1953-12-01,Technique Leader,Production
31501,Martial,Penn,1953-02-02,Senior Engineer,Development
31533,Trygve,Albarhamtoshy,1954-06-11,Senior Staff,Sales
31537,Mohd,Schahn,1952-08-24,Technique Leader,Production
31546,Isamu,Silva,1952-04-04,Senior Engineer,Production
31558,Shuzo,Hmelo,1954-02-14,Senior Staff,Sales
31563,Pradeep,Kushner,1954-07-29,Senior Staff,Development
31563,Pradeep,Kushner,1954-07-29,Senior Staff,Research
31571,Jagoda,Reutenauer,1954-07-22,Technique Leader,Development
31587,Heather,Henseler,1953-07-26,Senior Engineer,Development
31593,Kamakshi,Merey,1952-03-02,Senior Engineer,Development
31631,Tuval,Kavvadias,1952-09-27,Senior Staff,Research
31634,Mohua,Rubsam,1954-06-07,Senior Engineer,Development
31650,Neven,Savasere,1952-06-16,Senior Staff,Sales
31650,Neven,Savasere,1952-06-16,Senior Staff,Customer Service
31667,Hairong,Spataro,1953-08-13,Senior Engineer,Quality Management
31671,Mingdong,Trystram,1952-12-12,Senior Staff,Research
31697,Malu,Msuda,1954-03-26,Senior Engineer,Production
31700,Weiyi,Ranft,1954-08-12,Senior Staff,Sales
31709,Jinpo,Boissier,1952-07-02,Senior Engineer,Development
31719,JoAnne,Caine,1952-10-04,Senior Staff,Sales
31738,Edwin,Unno,1952-05-04,Senior Engineer,Production
31741,Valeri,Kenevan,1952-04-28,Senior Staff,Customer Service
31745,Sergi,Rodham,1954-04-21,Senior Engineer,Production
31750,Fabrizio,DuBourdieux,1954-11-16,Staff,Sales
31750,Fabrizio,DuBourdieux,1954-11-16,Staff,Customer Service
31770,Weiyi,Couchot,1953-07-13,Senior Staff,Research
31777,Pragnesh,Kumaresan,1954-04-01,Senior Engineer,Development
31796,Leen,Vakili,1953-11-18,Senior Engineer,Development
31802,Murthy,Huhdanpaa,1952-12-27,Senior Engineer,Quality Management
31810,Jasminko,Gill,1952-11-21,Senior Engineer,Development
31811,Zine,Raney,1953-11-16,Staff,Research
31824,Remko,Pezzoli,1953-06-25,Senior Staff,Sales
31849,Chaitali,Sabnani,1952-04-14,Engineer,Production
31858,Geoffrey,Benantar,1953-12-25,Senior Staff,Finance
31865,Ramzi,Schade,1954-05-25,Engineer,Development
31868,Dhritiman,Jervis,1953-09-12,Senior Engineer,Development
31872,Sanjay,Georgakopoulos,1953-05-14,Senior Staff,Research
31890,Dekang,Shiratori,1952-09-23,Senior Staff,Sales
31890,Dekang,Shiratori,1952-09-23,Senior Staff,Customer Service
31929,Chanjung,Penn,1954-12-15,Technique Leader,Production
31929,Chanjung,Penn,1954-12-15,Technique Leader,Customer Service
31931,Alenka,Leppanen,1952-06-07,Senior Staff,Finance
31933,Arun,Huhdanpaa,1953-01-29,Senior Engineer,Production
31956,Ziyad,Gecsei,1953-02-04,Senior Staff,Marketing
31970,Taegyun,Zaumen,1954-07-23,Senior Engineer,Production
31970,Taegyun,Zaumen,1954-07-23,Senior Engineer,Customer Service
31999,Stabislas,Siksek,1953-12-15,Senior Staff,Research
32001,Mari,Attimonelli,1952-10-16,Senior Staff,Sales
32026,Lansing,Skrikant,1952-10-21,Senior Staff,Marketing
32027,Mong,Sidhu,1953-09-03,Senior Staff,Sales
32032,Harjit,Kermarrec,1952-11-06,Senior Staff,Finance
32037,Bader,Ozeri,1953-10-08,Engineer,Development
32053,Arunachalam,Tiemann,1952-06-08,Senior Engineer,Production
32054,Kersti,Bahk,1953-01-09,Senior Engineer,Production
32054,Kersti,Bahk,1953-01-09,Senior Engineer,Customer Service
32056,Parviz,Lieblein,1953-03-06,Senior Staff,Sales
32064,Mandell,Gammage,1952-11-03,Senior Staff,Research
32089,Jianhua,Bardell,1953-12-11,Senior Engineer,Production
32089,Jianhua,Bardell,1953-12-11,Senior Engineer,Quality Management
32151,Martine,Pileggi,1954-09-15,Senior Staff,Marketing
32158,Fun,Ranta,1954-12-18,Senior Engineer,Development
32167,Christophe,Sury,1954-03-28,Senior Staff,Sales
32168,Yaghout,Swick,1954-01-25,Technique Leader,Production
32174,Mohua,Kaltofen,1954-10-11,Engineer,Development
32180,Abdelaziz,Hofman,1952-10-24,Senior Staff,Finance
32193,Margareta,Szmurlo,1952-05-23,Senior Staff,Sales
32197,Claude,Highland,1953-10-29,Senior Staff,Sales
32200,Nalini,Sadowsky,1954-12-24,Engineer,Development
32204,Garnet,Leppanen,1953-03-04,Senior Staff,Marketing
32204,Garnet,Leppanen,1953-03-04,Senior Staff,Sales
32213,Tzvetan,Bashian,1953-09-01,Senior Staff,Customer Service
32221,Pranas,Snedden,1952-09-24,Senior Staff,Sales
32233,Kenroku,Benveniste,1954-01-07,Senior Engineer,Development
32237,Yucai,Range,1953-06-07,Staff,Sales
32239,Xumin,Cummings,1954-08-29,Senior Staff,Marketing
32246,Georg,Onuegbe,1953-03-03,Senior Staff,Research
32251,Inderjeet,Tsukuda,1953-09-29,Staff,Customer Service
32296,Baruch,Peris,1952-02-06,Senior Engineer,Production
32303,Bodh,Merli,1953-02-16,Senior Staff,Sales
32349,Hairong,DiGiano,1952-11-02,Senior Staff,Marketing
32349,Hairong,DiGiano,1952-11-02,Senior Staff,Sales
32368,Ebru,Ravishankar,1952-06-10,Staff,Research
32405,Vitaly,Haumacher,1953-11-20,Senior Engineer,Development
32430,Yongdong,Hellwagner,1953-11-02,Senior Engineer,Development
32442,Leucio,Remmele,1954-09-06,Senior Engineer,Production
32444,Ioana,Ventosa,1953-01-25,Senior Staff,Customer Service
32446,Chirstian,Magalhaes,1953-03-13,Senior Engineer,Production
32449,Gal,Sabnani,1953-12-11,Senior Engineer,Development
32455,Lokesh,Brlek,1952-02-15,Senior Engineer,Development
32458,Conal,Uehara,1953-06-21,Senior Staff,Human Resources
32481,Dipankar,Nanard,1952-03-05,Senior Staff,Customer Service
32483,Gay,Tsukune,1953-11-21,Senior Staff,Marketing
32487,Neven,Hambrick,1953-02-15,Senior Staff,Sales
32488,Jeanne,Merks,1953-10-31,Senior Engineer,Development
32499,Jouko,Hellwagner,1954-02-03,Senior Engineer,Development
32505,Sailaja,Gustavson,1952-10-20,Senior Staff,Marketing
32531,Heng,Zirintsis,1954-05-12,Senior Engineer,Development
32559,Ingemar,Thombley,1952-04-22,Senior Engineer,Production
32564,Hatem,Miake,1954-04-14,Senior Staff,Marketing
32578,Billie,Chleq,1952-04-14,Senior Staff,Customer Service
32580,Kirk,Facello,1953-04-25,Senior Engineer,Development
32587,Sugwoo,Ballarin,1952-09-29,Senior Engineer,Production
32596,Naftaly,Gelosh,1953-01-07,Senior Engineer,Development
32615,Geoffrey,Sadowski,1953-08-05,Senior Staff,Research
32641,Tua,Tetzlaff,1952-02-03,Engineer,Development
32642,Danel,Garigliano,1954-01-08,Engineer,Production
32642,Danel,Garigliano,1954-01-08,Engineer,Customer Service
32656,Boriana,Lemarechal,1952-04-22,Senior Staff,Finance
32686,Ioana,Gien,1954-07-18,Senior Staff,Customer Service
32689,Gladys,Heusch,1952-03-25,Senior Staff,Sales
32703,DeForest,Klyachko,1954-09-26,Senior Staff,Sales
32724,Alselm,Janocha,1952-12-20,Senior Staff,Marketing
32724,Alselm,Janocha,1952-12-20,Senior Staff,Sales
32731,Honesty,Morrey,1954-12-30,Senior Engineer,Production
32737,Haldon,Vuskovic,1954-03-11,Senior Staff,Finance
32740,Ishfaq,DuBourdieux,1954-06-02,Senior Engineer,Production
32765,Yurij,Mitchem,1953-01-14,Senior Engineer,Development
32776,Charlene,Bodoff,1953-03-13,Senior Staff,Sales
32797,Martial,Ginesta,1954-02-06,Senior Engineer,Quality Management
32830,Oscar,Luke,1953-08-07,Technique Leader,Production
32830,Oscar,Luke,1953-08-07,Technique Leader,Quality Management
32849,Adib,Kornyak,1953-03-27,Senior Engineer,Development
32858,Tesuro,Fioravanti,1952-05-04,Senior Staff,Finance
32892,Sudharsan,Pfau,1953-05-26,Technique Leader,Development
32903,Maja,Terlouw,1952-06-15,Engineer,Development
32919,Lenore,Schaad,1953-06-11,Senior Staff,Marketing
32925,Xiaoqiu,Zwicker,1952-11-24,Senior Staff,Marketing
32928,Shigeu,Kalloufi,1952-04-02,Staff,Sales
32931,Almudena,DasSarma,1953-03-09,Senior Staff,Sales
32938,Qunsheng,Perna,1954-01-04,Senior Engineer,Production
32955,Basim,Dredge,1952-12-03,Senior Engineer,Development
32959,Ebru,Broomell,1954-12-23,Senior Staff,Customer Service
32972,Ebbe,Matzov,1952-08-03,Senior Staff,Research
32979,Xumin,Swift,1954-09-07,Senior Staff,Human Resources
33000,Kazunori,Gustavson,1952-11-05,Senior Staff,Customer Service
33006,Saniya,Einsfeld,1953-04-07,Staff,Research
33008,Keiichiro,Birnbaum,1952-09-24,Senior Staff,Sales
